,index,artist,company,length,part,song,video,views,year
45,12,Graveyard,Zero Skateboards,43 minutes,Dane Burman #1,Blue Soul,Zero - Cold War,177674,2013
46,13,Bloodrock,Zero Skateboards,43 minutes,Dane Burman #2,D.O.A.,Zero - Cold War,177674,2013
47,14,Dead Moon,Zero Skateboards,43 minutes,Credits,Somewhere Far Away,Zero - Cold War,177674,2013
48,15,The Misfits,Zero Skateboards,43 minutes,Trailer,Earth A.D.,Zero - Cold War,177674,2013
49,0,Amon Düül II,Slave Skateboards,51 minutes,Intro,Jail House Frog,Slave - Radio Television,214964,2009
50,1,Iron Claw,Slave Skateboards,51 minutes,Anthony Schultz,Pavement Artist,Slave - Radio Television,214964,2009
51,2,Brotha Lynch Hung,Slave Skateboards,51 minutes,Pat Burke,Rest in Piss,Slave - Radio Television,214964,2009
52,3,Icecross,Slave Skateboards,51 minutes,Frecks,Jesus Freaks,Slave - Radio Television,214964,2009
53,4,Witch,Slave Skateboards,51 minutes,Conhuir Lynn & Friends,Changing,Slave - Radio Television,214964,2009
54,5,MC5,Slave Skateboards,51 minutes,Danny Dicola,Over and Over,Slave - Radio Television,214964,2009
55,6,GOD,Slave Skateboards,51 minutes,Matt Mumford,My Pal,Slave - Radio Television,214964,2009
56,7,Dark,Slave Skateboards,51 minutes,Jon Allie,Zero Time,Slave - Radio Television,214964,2009
57,8,The Rolling Stones,Slave Skateboards,51 minutes,Jon Goemann,2000 Lightyears From Home,Slave - Radio Television,214964,2009
58,9,Louis Armstrong,Slave Skateboards,51 minutes,Credits,What A Wonderful World,Slave - Radio Television,214964,2009
59,10,Devo,Slave Skateboards,51 minutes,Trailer 1,S.I.B. (Swelling Itching Brain),Slave - Radio Television,214964,2009
60,0,Explosions In the Sky,Emerica,23 minutes,Intro and Jeremy Leabres,Last Known Surroundings,Emerica - Made: Chapter One,118234,2013
61,1,Witchcraft,Emerica,23 minutes,Collin Provost Intro,The Alchemist,Emerica - Made: Chapter One,118234,2013
62,2,Radio Moscow,Emerica,23 minutes,Collin Provost,No Time,Emerica - Made: Chapter One,118234,2013
63,3,Cuates,Emerica,23 minutes,Leo Romero Intro,Van Song,Emerica - Made: Chapter One,118234,2013
64,4,The Flaming Lips,Emerica,23 minutes,Leo Romero,She Dont Use Jelly,Emerica - Made: Chapter One,118234,2013
65,5,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #1,Catastrophe and the Cure,Emerica - Made: Chapter One,118234,2013
66,6,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #2,Trembling Hands,Emerica - Made: Chapter One,118234,2013
67,7,Explosions in the Sky,Emerica,23 minutes,Brandon Westgate #3 & Credits,Let Me Back In,Emerica - Made: Chapter One,118234,2013
68,0,Franz Schubert,Tilt Mode Army,55 minutes,Intro,Ave Maria,Tilt Mode Army - Bonus Round,101658,2009
69,1,Creedence Clearwater Revival,Tilt Mode Army,55 minutes,Nestor Judkins,The Midnight Special,Tilt Mode Army - Bonus Round,101658,2009
70,2,Tom Waits,Tilt Mode Army,55 minutes,Jerry Hsu,Starving In The Belly Of The Whale,Tilt Mode Army - Bonus Round,101658,2009
71,3,Brigitte Bardot,Tilt Mode Army,55 minutes,Pool Montage,Moi Je Joue,Tilt Mode Army - Bonus Round,101658,2009
72,4,Chemical Brothers,Tilt Mode Army,55 minutes,Jon Choi & Jon Nguyen,The Salmon Dance,Tilt Mode Army - Bonus Round,101658,2009
73,5,Elton Motello,Tilt Mode Army,55 minutes,Montage 1,Jet Boy Jet Girl,Tilt Mode Army - Bonus Round,101658,2009
74,6,Mariah Carey,Tilt Mode Army,55 minutes,Screaming Lord Halba,Touch My Body,Tilt Mode Army - Bonus Round,101658,2009
75,7,The Lightning Seeds,Tilt Mode Army,55 minutes,Louie Barletta,Pure,Tilt Mode Army - Bonus Round,101658,2009
76,8,Frankey Valli & The Four Seasons,Tilt Mode Army,55 minutes,24th Street Montage,Beggin,Tilt Mode Army - Bonus Round,101658,2009
77,9,Kermit,Tilt Mode Army,55 minutes,Matt Eversole,The Rainbow Connection,Tilt Mode Army - Bonus Round,101658,2009
78,10,Erasure,Tilt Mode Army,55 minutes,Paul Sharpe & Cairo Foster,I'm So In Love With You,Tilt Mode Army - Bonus Round,101658,2009
79,11,Calexico,Tilt Mode Army,55 minutes,Montage 2,Crystal Frontier,Tilt Mode Army - Bonus Round,101658,2009
80,12,Joe Walsh,Tilt Mode Army,55 minutes,Zach Wallin,Life Of Illusion,Tilt Mode Army - Bonus Round,101658,2009
81,13,Otis Redding,Tilt Mode Army,55 minutes,Jose Rojo,Try A Little Tenderness,Tilt Mode Army - Bonus Round,101658,2009
82,14,Lynyrd Skynyrd,Tilt Mode Army,55 minutes,Caswell Berry,Simple Man,Tilt Mode Army - Bonus Round,101658,2009
83,0,South,Element Skateboards,51 minutes,intro,Broken Head II,Element - Elementality Volume 1,146338,2005
84,1,Rocker T,Element Skateboards,51 minutes,Jake Rupp & Tosh Townend,Tru Ganjaman,Element - Elementality Volume 1,146338,2005
85,2,Kingston,Element Skateboards,51 minutes,Argentina #1,Argentina Beats,Element - Elementality Volume 1,146338,2005
86,3,Archers Of Loaf,Element Skateboards,51 minutes,amateurs #1,Harnessed In Slums,Element - Elementality Volume 1,146338,2005
87,4,RJD2,Element Skateboards,51 minutes,amateurs #2,Good Times Roll Pt. 2,Element - Elementality Volume 1,146338,2005
88,5,The Dude One Louder,Element Skateboards,51 minutes,Brent Atchley intro,The Number All Go To 11,Element - Elementality Volume 1,146338,2005
89,6,Public Enemy,Element Skateboards,51 minutes,Brent Atchley,Public Enemy No. 1,Element - Elementality Volume 1,146338,2005
90,7,Interpol,Element Skateboards,51 minutes,Jeremy Wray,PDA,Element - Elementality Volume 1,146338,2005
91,8,Vast,Element Skateboards,51 minutes,16mm montage,Untitled,Element - Elementality Volume 1,146338,2005
92,9,DJ Kool,Element Skateboards,51 minutes,Colt Cannon,Let Me Clear My Throat,Element - Elementality Volume 1,146338,2005
93,10,Hey Willpower,Element Skateboards,51 minutes,Vanessa Torres,Hundredaire,Element - Elementality Volume 1,146338,2005
94,11,Say Hi To Your Mom,Element Skateboards,51 minutes,on the road montage,Hooplas Involving Circus Tricks,Element - Elementality Volume 1,146338,2005
95,12,The Real Mckenzies,Element Skateboards,51 minutes,Bam Margera #1,Sailor Man,Element - Elementality Volume 1,146338,2005
96,13,Motörhead,Element Skateboards,51 minutes,Bam Margera #2,In The Name Of Tragedy,Element - Elementality Volume 1,146338,2005
97,14,Bad Brains,Element Skateboards,51 minutes,Nyjah Huston #1,Rally Round Jah Throne,Element - Elementality Volume 1,146338,2005
98,15,Bad Brains,Element Skateboards,51 minutes,Nyjah Huston #2,I Against I,Element - Elementality Volume 1,146338,2005
99,16,DJ Nobody,Element Skateboards,51 minutes,credits,The Beaches Of Neptune,Element - Elementality Volume 1,146338,2005
100,17,South,Element Skateboards,51 minutes,trailer,Broken Head II,Element - Elementality Volume 1,146338,2005
101,0,Bob Dorough,Girl Skateboards,38 minutes,intro,Three Is the Magic Number,Girl - Mouse,118193,1996
102,1,Eric Burdon & War,Girl Skateboards,38 minutes,Jeron Wilson,Magic Mountain,Girl - Mouse,118193,1996
103,2,James Brown,Girl Skateboards,38 minutes,Sean Sheffey,Doing It to Death,Girl - Mouse,118193,1996
104,3,Booker T. & the MG's,Girl Skateboards,38 minutes,"Jovontae Turner, Tim Gavin & Rudy Johnson",Time Is Night,Girl - Mouse,118193,1996
105,4,Joe Cuba,Girl Skateboards,38 minutes,Chico Brenes,El Pito,Girl - Mouse,118193,1996
106,5,Cymande,Girl Skateboards,38 minutes,"Daniel Castillo, Shamil Randle & Gabriel
Rodriguez",Brothers on the Slide,Girl - Mouse,118193,1996
107,6,Curtis Mayfield,Girl Skateboards,38 minutes,friends,(Don't worry) If there's a hell below we're all going to go,Girl - Mouse,118193,1996
108,7,"Earth, Wind & Fire",Girl Skateboards,38 minutes,Ben Sanchez,Shining Star,Girl - Mouse,118193,1996
109,8,Bob James,Girl Skateboards,38 minutes,Richard Mulder,Nautilus,Girl - Mouse,118193,1996
110,9,Royal Flush,Girl Skateboards,38 minutes,Keenan Milton & Gino Iannucci,World Wide,Girl - Mouse,118193,1996
111,10,Gwen McCrae,Girl Skateboards,38 minutes,Tony Ferguson,90% of Me Is You,Girl - Mouse,118193,1996
112,11,War,Girl Skateboards,38 minutes,Rick Howard & Mike Carroll,Slipping Into Darkness,Girl - Mouse,118193,1996
113,12,Joe Bataan,Girl Skateboards,38 minutes,Eric Koston,Aftershower Funk,Girl - Mouse,118193,1996
114,13,Herbie Hancock,Girl Skateboards,38 minutes,Guy Mariano,Watermelon Man,Girl - Mouse,118193,1996
115,14,John Mellencamp,Girl Skateboards,38 minutes,credits,Jack and Diane,Girl - Mouse,118193,1996
116,15,Paul Simon,Girl Skateboards,38 minutes,bonus #1,50 Ways To Leave Your Lover,Girl - Mouse,118193,1996
117,0,Lee 'Scratch' Perry,Nike Skateboarding,80 minutes,Lewis Marnell,Jungle Lion,Nike SB - Nothing But The Truth,219869,2007
118,1,Holly,Nike Skateboarding,80 minutes,Todd Jordan,Walk A Mile,Nike SB - Nothing But The Truth,219869,2007
119,2,The Pretty Things,Nike Skateboarding,80 minutes,Wieger Van Wageningen Intro,"She Was Tall, She Was High",Nike SB - Nothing But The Truth,219869,2007
120,3,The Smiths,Nike Skateboarding,80 minutes,Wieger Van Wageningen,A Rush And A Push And The Land Is Ours,Nike SB - Nothing But The Truth,219869,2007
121,4,Mobb Deep,Nike Skateboarding,80 minutes,"Fabio Cristiano, Cesar Gordo, Rodrigo Peterson",Shook Ones Part II,Nike SB - Nothing But The Truth,219869,2007
122,5,Lynyrd Skynyrd,Nike Skateboarding,80 minutes,Chet Childress,That Smell,Nike SB - Nothing But The Truth,219869,2007
123,6,The Stone Roses,Nike Skateboarding,80 minutes,"Grant Taylor, Clark Hassler, Guests",Fools Gold,Nike SB - Nothing But The Truth,219869,2007
124,7,Mark Mothersbaugh,Nike Skateboarding,80 minutes,Daniel Shimizu,Daniel's Evil Skate Jam,Nike SB - Nothing But The Truth,219869,2007
125,8,Ray Charles,Nike Skateboarding,80 minutes,Dan Murphy,What'd I Say,Nike SB - Nothing But The Truth,219869,2007
126,9,Raekwon,Nike Skateboarding,80 minutes,Danny Supa,Incarcerated Scarfaces,Nike SB - Nothing But The Truth,219869,2007
127,10,Johnny Cash,Nike Skateboarding,80 minutes,Reese Forbes,The Man Comes Around,Nike SB - Nothing But The Truth,219869,2007
128,11,Depeche Mode,Nike Skateboarding,80 minutes,Brian Anderson & Gino Iannuci,Enjoy The Silence,Nike SB - Nothing But The Truth,219869,2007
129,12,Devo,Nike Skateboarding,80 minutes,Stefan Janoski,Recombo DNA,Nike SB - Nothing But The Truth,219869,2007
130,13,Thin Lizzy,Nike Skateboarding,80 minutes,Omar Salazar,The Rocker,Nike SB - Nothing But The Truth,219869,2007
131,14,Sonic Youth,Nike Skateboarding,80 minutes,Paul Rodriguez,Teen Age Riot,Nike SB - Nothing But The Truth,219869,2007
132,0,The Who,Zero Skateboards,42 minutes,Intro,Won't Get Fooled Again,Zero - Dying To Live,177287,2002
133,1,Slayer,Zero Skateboards,42 minutes,Jon Allie,Tormentor,Zero - Dying To Live,177287,2002
134,2,The Proclaimers,Zero Skateboards,42 minutes,John Rattray,I'm Going To Be (500 Miles),Zero - Dying To Live,177287,2002
135,3,Queen,Zero Skateboards,42 minutes,Matt Mumford,One Vision,Zero - Dying To Live,177287,2002
136,4,The Adverts,Zero Skateboards,42 minutes,Ryan Bobier,One Chord Wonders,Zero - Dying To Live,177287,2002
137,5,Neil Young,Zero Skateboards,42 minutes,Friends,Rockin' In The Free World,Zero - Dying To Live,177287,2002
138,6,Gipsy Kings,Zero Skateboards,42 minutes,Adrian Lopez,"Djobi, Djoba",Zero - Dying To Live,177287,2002
139,7,Bob Marley,Zero Skateboards,42 minutes,Lindsey Robertson #1,Simmer Down,Zero - Dying To Live,177287,2002
140,8,Jefferson Airplane,Zero Skateboards,42 minutes,Lindsey Robertson #2,White Rabbit,Zero - Dying To Live,177287,2002
141,9,Nirvana,Zero Skateboards,42 minutes,Ryan Smith,Territorial Pissings,Zero - Dying To Live,177287,2002
142,10,Styx,Zero Skateboards,42 minutes,Chris Cole,Renegade,Zero - Dying To Live,177287,2002
143,11,Ennio Morricone,Zero Skateboards,42 minutes,Jamie Thomas #1,Trio (Main Title),Zero - Dying To Live,177287,2002
144,12,Rush,Zero Skateboards,42 minutes,Jamie Thomas #2,Overture & The Temples of Syrinx,Zero - Dying To Live,177287,2002
145,13,Metallica,Zero Skateboards,42 minutes,Jamie Thomas #3,Ecstacy of Gold,Zero - Dying To Live,177287,2002
146,14,Lard,Zero Skateboards,42 minutes,Slams,Forkboy,Zero - Dying To Live,177287,2002
147,15,Archers of Loaf,Zero Skateboards,42 minutes,Credits,White Trash Heroes,Zero - Dying To Live,177287,2002
148,16,Derek & The Dominos,Zero Skateboards,42 minutes,Outro,Layla,Zero - Dying To Live,177287,2002
149,0,Tortoise,Emerica,45 minutes,Intro,Seneca,Emerica - This Is Skateboarding,205171,2003
150,1,Mellow,Emerica,45 minutes,Heath Kirchart,Shinda Shima,Emerica - This Is Skateboarding,205171,2003
151,2,The Richmond Sluts,Emerica,45 minutes,Bryan Herman,Drive Me Wild,Emerica - This Is Skateboarding,205171,2003
152,3,Butter 08,Emerica,45 minutes,Ed Templeton,It's the Rage,Emerica - This Is Skateboarding,205171,2003
153,4,Belle & Sebastian,Emerica,45 minutes,Austin Stephens,I Don't Love Anyone,Emerica - This Is Skateboarding,205171,2003
154,5,Habanero,Emerica,45 minutes,Aaron Suski,Eva,Emerica - This Is Skateboarding,205171,2003
155,6,Bleed The Sky,Emerica,45 minutes,Montage,999,Emerica - This Is Skateboarding,205171,2003
156,7,Jesse & Josh of Operatic,Emerica,45 minutes,Darren Navarrette,Sheblacc,Emerica - This Is Skateboarding,205171,2003
157,8,Danzig,Emerica,45 minutes,Erik Ellington,777,Emerica - This Is Skateboarding,205171,2003
158,9,Lee Perry & The Upsetters,Emerica,45 minutes,Tosh Townend,Blackboard Jungle Dub,Emerica - This Is Skateboarding,205171,2003
159,10,Jesse & Josh of Operatic,Emerica,45 minutes,Chris Senn,Senn dog,Emerica - This Is Skateboarding,205171,2003
160,11,The Cure,Emerica,45 minutes,"Kevin ""Spanky"" Long",Close To Me,Emerica - This Is Skateboarding,205171,2003
161,12,Jimi Hendrix,Emerica,45 minutes,Andrew Reynolds,Burning of the Midnight Lamp,Emerica - This Is Skateboarding,205171,2003
162,13,Mogwai,Emerica,45 minutes,Credits,Tracy (Kid Loco's Playing With the Young Team remix),Emerica - This Is Skateboarding,205171,2003
163,0,Spongebob & Plankton,Powell Skateboards,35 minutes,Intro,F.U.N. Song,Powell - FUN!,269529,2009
164,1,Softlightes,Powell Skateboards,35 minutes,Josh Hawkins,Heart Made Of Sound,Powell - FUN!,269529,2009
165,2,The Blues Magoos,Powell Skateboards,35 minutes,Dallas Rockvam,(We Ain't Got) Nothin' Yet,Powell - FUN!,269529,2009
166,3,Triumph,Powell Skateboards,35 minutes,Ben Hatchell,Lay It On The Line,Powell - FUN!,269529,2009
167,4,George Harrison,Powell Skateboards,35 minutes,Aldrin Garcia,What Is Life,Powell - FUN!,269529,2009
168,5,Elliot Smith,Powell Skateboards,35 minutes,John White,Son of Sam,Powell - FUN!,269529,2009
169,6,Strawberry Alarm Clock,Powell Skateboards,35 minutes,Derek Elmendorf,Incense and Peppermints,Powell - FUN!,269529,2009
170,7,Van Halen,Powell Skateboards,35 minutes,Jordan Hoffart #1,Panama,Powell - FUN!,269529,2009
171,8,The Fifth Dimension,Powell Skateboards,35 minutes,Jordan Hoffart #2,Aquarius/Let the Sunshine In,Powell - FUN!,269529,2009
172,9,When In Rome,Powell Skateboards,35 minutes,Credits #1,The Promise,Powell - FUN!,269529,2009
173,10,Rod Stewart,Powell Skateboards,35 minutes,Credits #2,Young Turks,Powell - FUN!,269529,2009
174,11,Lyle Workman,Powell Skateboards,35 minutes,Trailer 4,Super What?,Powell - FUN!,269529,2009
175,0,Lil Wayne,Element Skateboards,8 minutes,Nyjah Huston,I'm Me,Element - Rise & Shine,116483,2011
176,1,Loren Humphrey,Element Skateboards,8 minutes,Trailer,?,Element - Rise & Shine,116483,2011
177,0,Cypress Hill,Supreme,40 minutes,Montage #1,I Wanna Get High,"Supreme - ""cherry""",248602,2014
178,1,Jane's Addiction,Supreme,40 minutes,Montage #2,Stop,"Supreme - ""cherry""",248602,2014
179,2,The Cure,Supreme,40 minutes,Montage #3,Cold,"Supreme - ""cherry""",248602,2014
180,3,Chief Keef,Supreme,40 minutes,Montage #4,I Don't Know Dem,"Supreme - ""cherry""",248602,2014
181,4,Gang Gang Dance,Supreme,40 minutes,Montage #5,Vacuum,"Supreme - ""cherry""",248602,2014
182,5,Andrew Eliopoulos,Supreme,40 minutes,Paulo Diaz,Fuck Fox News,"Supreme - ""cherry""",248602,2014
183,6,INXS,Supreme,40 minutes,Dylan Rieder and Alex Olson,Never Tear Us Apart,"Supreme - ""cherry""",248602,2014
184,7,Chef Raekwon,Supreme,40 minutes,Montage #6,Glaciers of Ice,"Supreme - ""cherry""",248602,2014
185,8,Group Home,Supreme,40 minutes,Montage #7,Baby Pa,"Supreme - ""cherry""",248602,2014
186,9,Salem,Supreme,40 minutes,Credits,666,"Supreme - ""cherry""",248602,2014
187,0,Medications,Toy Machine,23 minutes,Intro,Surprise!,Toy Machine - Brainwash,140763,2010
188,1,Happy Go Licky,Toy Machine,23 minutes,Daniel Lutheran,Twist and Shout,Toy Machine - Brainwash,140763,2010
189,2,Happy Go Licky,Toy Machine,23 minutes,Johnny Layton,Torso Butter,Toy Machine - Brainwash,140763,2010
190,3,Trans Am,Toy Machine,23 minutes,Billy Marks,Silent Star,Toy Machine - Brainwash,140763,2010
191,4,Josh Harmony,Toy Machine,23 minutes,Nick Trapasso,Appleton Shuffle,Toy Machine - Brainwash,140763,2010
192,5,Bad Brains,Toy Machine,23 minutes,Jordan Taylor,I,Toy Machine - Brainwash,140763,2010
193,6,Teen Idles,Toy Machine,23 minutes,Collin Provost,Sneakers,Toy Machine - Brainwash,140763,2010
194,7,The Black Keys,Toy Machine,23 minutes,Leo Romero,The Moan (Peel Session),Toy Machine - Brainwash,140763,2010
195,8,The Books,Toy Machine,23 minutes,Credits & Outro,Thirty Incoming,Toy Machine - Brainwash,140763,2010
196,9,Devo,Toy Machine,23 minutes,Trailers,Mongoloid,Toy Machine - Brainwash,140763,2010
197,0,Spell,Toy Machine,36 minutes,Ed Templeton,Hazel Motes,Toy Machine - Good & Evil,127476,2004
198,1,Dinosaur Jr,Toy Machine,36 minutes,Intro,Kracked,Toy Machine - Good & Evil,127476,2004
199,2,Sebadoh,Toy Machine,36 minutes,Josh Harmony,flame,Toy Machine - Good & Evil,127476,2004
200,3,Peggy Honeywell,Toy Machine,36 minutes,Austin Stephens,Sing Sung Saing,Toy Machine - Good & Evil,127476,2004
201,4,T. Rex,Toy Machine,36 minutes,Matt Bennett,20th Century Boy,Toy Machine - Good & Evil,127476,2004
202,5,Patti Smith,Toy Machine,36 minutes,Johnny Layton,Free Money,Toy Machine - Good & Evil,127476,2004
203,6,Franz Ferdinand,Toy Machine,36 minutes,Billy Marks #1,Jacqueline,Toy Machine - Good & Evil,127476,2004
204,7,Ladytron,Toy Machine,36 minutes,Billy Marks #2,Blue Jeans,Toy Machine - Good & Evil,127476,2004
205,8,Rata Blanca,Toy Machine,36 minutes,Diego Bucchieri,Leyenda del Hada y el Mago,Toy Machine - Good & Evil,127476,2004
206,9,Explosions In The Sky,Toy Machine,36 minutes,Credits,First Breath After Coma,Toy Machine - Good & Evil,127476,2004
207,0,The Electric Prunes,LRG Skateboarding,37 minutes,Intro,Holy Are You,LRG - Give Me My Money Chico,126933,2010
208,1,Doncesão,LRG Skateboarding,37 minutes,Rodrigo Petersen #1,Obrigahh,LRG - Give Me My Money Chico,126933,2010
209,2,Natural Self,LRG Skateboarding,37 minutes,Rodrigo Petersen #2,Introduction,LRG - Give Me My Money Chico,126933,2010
210,3,Midnite,LRG Skateboarding,37 minutes,Adelmo Jr,Haile Selassie I Rastaman Crown,LRG - Give Me My Money Chico,126933,2010
211,4,The Mighty Lovers,LRG Skateboarding,37 minutes,Kelly Hart,Ain't Gonna Run No More,LRG - Give Me My Money Chico,126933,2010
212,5,The New Holidays,LRG Skateboarding,37 minutes,Rob Gonzalez,"Maybe So, Maybe No",LRG - Give Me My Money Chico,126933,2010
213,6,Public Enemy,LRG Skateboarding,37 minutes,Andrew Langi,You're Gonna Get Yours,LRG - Give Me My Money Chico,126933,2010
214,7,Public Image Ltd,LRG Skateboarding,37 minutes,Karl Watson,Public Image,LRG - Give Me My Money Chico,126933,2010
215,8,The O'Jays,LRG Skateboarding,37 minutes,Chico Brenes,For The Love Of Money,LRG - Give Me My Money Chico,126933,2010
216,9,Diamond District,LRG Skateboarding,37 minutes,Jackson Curtin #1,Streets Won't Let Me Chill,LRG - Give Me My Money Chico,126933,2010
217,10,The Dells,LRG Skateboarding,37 minutes,Jackson Curtin #2,Love is Blue (I Can Sing A Rainbow),LRG - Give Me My Money Chico,126933,2010
218,11,Mc Zoio de Gato,LRG Skateboarding,37 minutes,Rodrigo TX Intro,Fábrica de Bico,LRG - Give Me My Money Chico,126933,2010
219,12,The Jam,LRG Skateboarding,37 minutes,Rodrigo TX #1,Precious,LRG - Give Me My Money Chico,126933,2010
220,13,Prodigy,LRG Skateboarding,37 minutes,Rodrigo TX #2,7th Heaven,LRG - Give Me My Money Chico,126933,2010
221,14,Bill Withers,LRG Skateboarding,37 minutes,Credits #1,Can We Pretend,LRG - Give Me My Money Chico,126933,2010
222,15,Placebo,LRG Skateboarding,37 minutes,Credits #2,Humpty Dumpty,LRG - Give Me My Money Chico,126933,2010
223,0,Lard,Toy Machine,30 minutes,intro,The Power of Lard,Toy Machine - Welcome To Hell,106738,1996
224,1,Misfits,Toy Machine,30 minutes,Mike Maldonado,London Dungeon,Toy Machine - Welcome To Hell,106738,1996
225,2,The Sundays,Toy Machine,30 minutes,Elissa Steamer,You´re not the only one I know,Toy Machine - Welcome To Hell,106738,1996
